"financial_year","actual_revised_estimated","category","item","sector","ministry","type","class","amount","percent_of_gdp"
2010,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,313,0.001
2011,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,318,0.001
2012,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,326,0.001
2013,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,352,0.001
2014,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,384,0.001
2015,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,410,0.001
2016,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,440,0.001
2017,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,473,0.001
2018,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,496,0.001
2019,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,508,0.001
2020,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,502,0.001
2021,"Revised","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,581,0.001
2022,"Estimated","Expenditure","Total Expenditure","Government Administration","Organs of State","Operating",NA,631,0.001
1997,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,39,0
1998,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,98,0.001
1999,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,251,0.002
2000,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,38,0
2001,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,30,0
2002,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,33,0
2003,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,47,0
2004,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,151,0.001
2005,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,31,0
2006,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,11,0
2007,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,6,0
2008,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,10,0
2009,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,17,0
2010,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,14,0
2011,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,17,0
2012,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,163,0
2013,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,22,0
2014,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,23,0
2015,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,47,0
2016,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,55,0
2017,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,105,0
2018,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,184,0
2019,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,217,0
2020,"Actual","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,59,0
2021,"Revised","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,64,0
2022,"Estimated","Expenditure","Total Expenditure","Government Administration","Organs of State","Development",NA,72,0
1997,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,121,0.001
1998,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,123,0.001
1999,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,108,0.001
2000,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,134,0.001
2001,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,151,0.001
2002,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,143,0.001
2003,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,135,0.001
2004,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,141,0.001
2005,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,136,0.001
2006,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,151,0.001
2007,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,176,0.001
2008,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,194,0.001
2009,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,203,0.001
2010,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,240,0.001
2011,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,273,0.001
2012,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,259,0.001
2013,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,290,0.001
2014,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,318,0.001
2015,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,381,0.001
2016,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,374,0.001
2017,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,653,0.001
2018,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,670,0.001
2019,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,746,0.001
2020,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,692,0.001
2021,"Revised","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,1043,0.002
2022,"Estimated","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Operating",NA,1089,0.002
1997,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,52,0
1998,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,32,0
1999,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,25,0
2000,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,18,0
2001,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,18,0
2002,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,41,0
2003,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,42,0
2004,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,40,0
2005,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,32,0
2006,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,25,0
2007,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,14,0
2008,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,9,0
2009,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,12,0
2010,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,34,0
2011,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,20,0
2012,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,23,0
2013,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,40,0
2014,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,38,0
2015,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,38,0
2016,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,40,0
2017,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,123,0
2018,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,159,0
2019,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,172,0
2020,"Actual","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,184,0
2021,"Revised","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,285,0.001
2022,"Estimated","Expenditure","Total Expenditure","Government Administration","Prime Minister's Office","Development",NA,303,0.001
1997,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,287,0.002
1998,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,52,0
1999,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,382,0.003
2000,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1035,0.006
2001,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,3464,0.022
2002,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1202,0.007
2003,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,603,0.003
2004,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,961,0.005
2005,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,579,0.003
2006,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,2622,0.011
2007,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1342,0.005
2008,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,4089,0.015
2009,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,4071,0.014
2010,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1505,0.004
2011,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,2909,0.008
2012,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1458,0.004
2013,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,2990,0.008
2014,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,3856,0.01
2015,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,4369,0.01
2016,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,2772,0.006
2017,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,2112,0.004
2018,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1689,0.003
2019,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1561,0.003
2020,"Actual","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,33502,0.07
2021,"Revised","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,7897,0.015
2022,"Estimated","Expenditure","Special Transfers Excluding Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,2192,0.004
1997,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,600,0.004
1998,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,0,0
1999,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,300,0.002
2000,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,800,0.005
2001,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1800,0.011
2002,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,600,0.004
2003,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,0,0
2004,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,700,0.004
2005,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,250,0.001
2006,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,948,0.004
2007,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,800,0.003
2008,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,3010,0.011
2009,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,1410,0.005
2010,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,5590,0.017
2011,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,5517,0.015
2012,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,7402,0.02
2013,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,5594,0.014
2014,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,8500,0.021
2015,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,6000,0.014
2016,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,3600,0.008
2017,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,4010,0.008
2018,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,7300,0.014
2019,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,13568,0.027
2020,"Actual","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,17320,0.036
2021,"Revised","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,0,0
2022,"Estimated","Expenditure","Top-ups to Endowment and Trust Funds",NA,NA,NA,NA,4050,0.007
1997,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
1998,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
1999,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2000,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2001,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2002,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2003,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2004,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2005,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2006,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2007,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2008,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2009,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2010,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2011,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2012,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2013,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2014,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2015,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2016,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2017,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2018,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2019,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2020,"Actual","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2021,"Revised","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,0,0
2022,"Estimated","Expenditure","Interest Costs and Loan Expenses",NA,NA,NA,NA,97,0
1997,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
1998,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
1999,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2000,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2001,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2002,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2003,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2004,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2005,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2006,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2007,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2008,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2009,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2010,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2011,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2012,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2013,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2014,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2015,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2016,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2017,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2018,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2019,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2020,"Actual","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2021,"Revised","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,656,0.001
2022,"Estimated","Expenditure","Capitalisation of Nationally Significant Infrastructure",NA,NA,NA,NA,2395,0.004
1997,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
1998,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
1999,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2000,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2001,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2002,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2003,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2004,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2005,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2006,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2007,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2008,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2009,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2010,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2011,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2012,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2013,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2014,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2015,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2016,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2017,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2018,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2019,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2020,"Actual","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2021,"Revised","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
2022,"Estimated","Expenditure","Depreciation of Nationally Significant Infrastructure",NA,NA,NA,NA,0,0
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",6809,0.045
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",6256,0.044
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",6565,0.044
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",8316,0.049
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",7821,0.049
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",6822,0.041
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",5921,0.034
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",6107,0.031
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",7340,0.034
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",8474,0.035
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",9250,0.033
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",10554,0.039
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",9551,0.032
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",10687,0.032
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",12096,0.034
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",12821,0.035
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",12680,0.033
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",13371,0.033
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",13815,0.032
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",13602,0.03
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",14944,0.031
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",16032,0.031
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",16732,0.033
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",16112,0.034
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",17511,0.032
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Corporate Income Tax","Tax",18193,0.032
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",2347,0.016
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",2960,0.021
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",3040,0.02
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",3543,0.021
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",3732,0.023
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",3423,0.02
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",3133,0.018
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",3132,0.016
2005,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",3425,0.016
2006,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",3743,0.015
2007,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",4537,0.016
2008,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",5414,0.02
2009,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",6114,0.021
2010,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",6470,0.019
2011,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",6871,0.019
2012,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",7714,0.021
2013,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",7688,0.02
2014,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",8927,0.022
2015,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",9235,0.022
2016,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",10526,0.023
2017,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",10724,0.022
2018,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",11706,0.023
2019,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",12368,0.024
2020,"Actual","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",12748,0.027
2021,"Revised","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",13827,0.026
2022,"Estimated","Revenue","Operating Revenue",NA,NA,"Personal Income Tax","Tax",13983,0.024
1997,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",337,0.002
1998,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",316,0.002
1999,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",467,0.003
2000,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",486,0.003
2001,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",815,0.005
2002,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",626,0.004
2003,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",729,0.004
2004,"Actual","Revenue","Operating Revenue",NA,NA,"Withholding Tax","Tax",824,0.004
